diseases_CUI,Name
C0024143,Lupus Nephritis
C0040261,Onychomycosis
C0024141,"Lupus Erythematosus, Systemic"
C0042029,Urinary tract infection
C0013295,Duodenal Ulcer
C0019061,Hemolytic-Uremic Syndrome
C0021400,Influenza
C0206526,"Tuberculosis, Multidrug-Resistant"
C0031069,Familial Mediterranean Fever
C0271051,Macular retinal edema
C0020503,"Hyperparathyroidism, Secondary"
C0010054,Coronary Arteriosclerosis
C5392833,Acute Ischemic Stroke
C0019069,Hemophilia A
C0023281,Leishmaniasis
C0018099,Gout
C0026946,Mycoses
C0333519,Caries (morphologic abnormality)
C1619734,Error: 404
C0020473,Hyperlipidemia
C0004623,Bacterial Infections
C0022661,"Kidney Failure, Chronic"
C0038013,Ankylosing spondylitis
C0020615,Hypoglycemia
C0011334,Dental caries
C0264716,Chronic heart failure
C0037274,Dermatologic disorders
C0032285,Pneumonia
C0242422,Parkinsonian Disorders
C0041234,Chagas Disease
C0018378,Guillain-Barre Syndrome
C0240066,Iron deficiency
C0010674,Cystic Fibrosis
C0002736,Amyotrophic Lateral Sclerosis
C0024790,Paroxysmal nocturnal hemoglobinuria
C0400966,Non-alcoholic Fatty Liver Disease
C0014175,Endometriosis
C0238013,Invasive aspergillosis
C0206178,Cytomegalovirus Retinitis
C0740394,Hyperuricemia
C0042769,Virus Diseases
C0578870,Chronic Spontaneous Urticaria
C0025517,Metabolic Diseases
C0003872,"Arthritis, Psoriatic"
C0035435,Rheumatism
C0020437,Hypercalcemia
C0019151,Hepatic Encephalopathy
C0020550,Hyperthyroidism
C0030920,Peptic Ulcer
C0553662,Error: 404
C0011880,Diabetic Ketoacidosis
C0023895,Liver diseases
C0026847,Spinal Muscular Atrophy
C0010823,Cytomegalovirus Infections
C0005940,Bone Diseases
C1800706,Idiopathic Pulmonary Fibrosis
C0022658,Kidney Diseases
C0042514,"Tachycardia, Ventricular"
C0027051,Myocardial Infarction
C0020514,Hyperprolactinemia
C1861172,Venous Thromboembolism
C0271790,Subclinical hypothyroidism
C0036690,Septicemia
C0022104,Irritable Bowel Syndrome
C0018799,Heart Diseases
C0085612,Ventricular arrhythmia
C0001144,Acne Vulgaris
C0010340,Critical Illness
C0155877,Allergic asthma
C0020619,Hypogonadism
C0029458,"Osteoporosis, Postmenopausal"
C0001206,Acromegaly
C0004153,Atherosclerosis
C0027092,Myopia
C0002103,Atopic rhinitis
C0007682,CNS disorder
C0162311,Androgenetic Alopecia
C0019163,Hepatitis B
C0025218,Chloasma
C0010068,Coronary heart disease
C0007787,Transient Ischemic Attack
C0041408,Turner Syndrome
C0031485,Phenylketonurias
C0035344,Retinopathy of Prematurity
C0751495,"Seizures, Focal"
C0042164,Uveitis
C0034065,Pulmonary Embolism
C0042384,Vasculitis
C0162836,Hidradenitis Suppurativa
C0003864,Arthritis
C0005747,Blepharospasm
C0013384,Dyskinetic syndrome
C0030807,Pemphigus
C0037769,West Syndrome
C0024115,Lung diseases
C0019202,Hepatolenticular Degeneration
C0035204,Respiration Disorders
C0085166,Bacterial Vaginosis
C0023290,"Leishmaniasis, Visceral"
C0018790,Cardiac Arrest
C0038220,Status Epilepticus
C0002874,Aplastic Anemia
C0272285,Heparin-induced thrombocytopenia
C0008533,Hemophilia B
C0019212,Hepatorenal Syndrome
C0011881,Diabetic Nephropathy
C1561643,Chronic Kidney Diseases
C0035258,Restless Legs Syndrome
C0033687,Proteinuria
C0013502,Echinococcosis
C0278152,Hemifacial Spasm
C0151744,Myocardial Ischemia
C0016053,Fibromyalgia
C0282193,Iron Overload
C0013537,Eclampsia
C0851578,Sleep Disorders
C0686347,Tardive Dyskinesia
C0085580,Essential Hypertension
C0276226,Herpes encephalitis
C0017178,Gastrointestinal Diseases
C0035305,Retinal Detachment
C0023343,Leprosy
C0006840,Candidiasis
C0034155,"Purpura, Thrombotic Thrombocytopenic"
C0032768,Postherpetic neuralgia
C0040028,"Thrombocythemia, Essential"
C0030809,Pemphigus Vulgaris
C0872054,Latent Infection
C0036262,Scabies infestation
C0041228,African Trypanosomiasis
C0020445,"Hypercholesterolemia, Familial"
C0022876,Premature Obstetric Labor
C0021359,Infertility
C0858318,Plasmodium falciparum infection
C0023283,"Leishmaniasis, Cutaneous"
C0004610,Bacteremia
C0151740,Intracranial Hypertension
C0027726,Nephrotic Syndrome
C0085413,"Polycystic Kidney, Autosomal Dominant"
C0085437,"Meningitis, Bacterial"
C0035222,"Respiratory Distress Syndrome, Adult"
C0029434,Osteogenesis Imperfecta
C0035309,Retinal Diseases
C0017665,Membranous glomerulonephritis
C0587044,Left ventricular thrombus
C0040997,Trigeminal Neuralgia
C0343386,Clostridium difficile infection
C0085278,Antiphospholipid Syndrome
C0267167,Nonulcer dyspepsia
C0019348,Herpes simplex infection
C0014547,"Epilepsies, Partial"
C0028840,Ocular Hypertension
C0036202,Sarcoidosis
C0271429,Acute otitis media
C0008370,Cholestasis
C0027873,Neuromyelitis Optica
C0042025,Urinary Stress Incontinence
C0338437,Neurocysticercosis
C0027430,Nasal Polyp
C0948265,Error: 404
C0007789,Cerebral Palsy
C1504336,Polypoidal Choroidal Vasculopathy
C0039483,Giant Cell Arteritis
C0014518,Toxic Epidermal Necrolysis
C0032994,"Pregnancy, Tubal"
C0028734,Nocturia
C0272286,Thrombocytopenia due to platelet alloimmunization
C0006111,Brain Diseases
C0206062,"Lung Diseases, Interstitial"
C0043092,Error: 404
C0009663,Condylomata Acuminata
C0339143,Graves Ophthalmopathy
C0021053,Immune System Diseases
C0600260,"Lung Diseases, Obstructive"
C0041318,"Tuberculosis, Meningeal"
C0002965,"Angina, Unstable"
C0239946,"Fibrosis, Liver"
C0085436,"Meningitis, Cryptococcal"
C1384514,Conn Syndrome
C0342543,Central Precocious Puberty
C0026896,Myasthenia Gravis
C0393819,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating"
C0035078,Kidney Failure
C1565489,Renal Insufficiency
C0042373,Vascular Diseases
C0002171,Alopecia Areata
C2931788,Atypical Hemolytic Uremic Syndrome
C0035235,Respiratory Syncytial Virus Infections
C0152171,Idiopathic pulmonary hypertension
C0003962,Ascites
C0241910,Autoimmune Chronic Hepatitis
C0040921,Trichomonas Infections
C1142276,Renal anemia
C0582415,Acute asthma
C0085096,Peripheral Vascular Diseases
C1290886,Chronic inflammatory disorder
C0341697,Error: 404
C0002170,Alopecia
C0038379,Strabismus
C0040250,Tinea Capitis
C0014869,Peptic Esophagitis
C0010308,Congenital Hypothyroidism
C0004943,Behcet Syndrome
C0035243,Respiratory Tract Infections
C0039240,Supraventricular tachycardia
C0238644,"Anemia, severe"
C0206525,"Tuberculosis, Drug-Resistant"
C0006666,Calciphylaxis
C0031099,Periodontitis
C0018133,Graft-vs-Host Disease
C0684275,"Hemophilia, NOS"
C0019360,Herpes zoster (disorder)
C0019572,Hirsutism
C0006287,Bronchopulmonary Dysplasia
C0011884,Diabetic Retinopathy
C0264714,Acute heart failure
C0023524,"Leukoencephalopathy, Progressive Multifocal"
C0029118,Opportunistic Infections
C0877445,Candidemia
C0030499,Parasitic Diseases
C0948245,Cytokine Release Syndrome
C0751967,"Multiple Sclerosis, Relapsing-Remitting"
C0017609,"Glaucoma, Neovascular"
C0024537,"Malaria, Vivax"
C0269285,Cervical pregnancy
C0030305,Pancreatitis
C0085109,Corneal Neovascularization
C0042510,Ventricular Fibrillation
C0037036,Sialorrhea
C0001622,Adrenal Gland Hyperfunction
C0017536,Giardiasis
C0027404,Narcolepsy
C0020557,Hypertriglyceridemia
C0042024,Urinary Incontinence
C0041466,Typhoid Fever
C0034069,Pulmonary Fibrosis
C0043117,Error: 404
C0038358,Gastric ulcer
C0037354,Smallpox
C0002892,"Anemia, Pernicious"
C1609538,Latent Tuberculosis
C0040558,Toxoplasmosis
C0339573,"Glaucoma, Primary Open Angle"
C0032305,Error: 404
C0236663,Alcohol withdrawal syndrome
C0031046,Pericarditis
C0598608,Hyperhomocysteinemia
C0042974,von Willebrand Disease
C0003850,Arteriosclerosis
C0008049,Chickenpox
C0398650,Immune thrombocytopenic purpura
C1384600,Systemic onset juvenile chronic arthritis
C0264490,Acute respiratory failure
C0566602,Primary sclerosing cholangitis
C0221406,Pituitary-dependent Cushing's disease
C0343401,Methicillin resistant Staphylococcus aureus infection
C0159020,Convulsions in the newborn
C0733682,"Hypophosphatemic Rickets, X-Linked Dominant"
C0013884,Filarial Elephantiases
C0020651,"Hypotension, Orthostatic"
C0035328,Retinal Vein Occlusion
C1536220,ST segment elevation myocardial infarction
C0740441,Acute diarrhea
C0020502,Hyperparathyroidism
C1321756,Achalasia
C0024894,Mastitis
C0040034,Thrombocytopenia
C0267919,Primary cholangitis
C0021775,Intermittent Claudication
C0017612,"Glaucoma, Open-Angle"
C0025637,Methemoglobinemia
C0036421,Systemic Scleroderma
C0751074,Diabetic Neuralgia
C1276092,Chronic hand eczema
C0013312,Dupuytren Contracture
C0039263,Takayasu Arteritis
C0700345,"Candidiasis, Vulvovaginal"
C0024591,Malignant hyperpyrexia due to anesthesia
C0042870,Vitamin D Deficiency
C0019156,Hepatic Veno-Occlusive Disease
C0020179,Huntington Disease
C0004030,Aspergillosis
C0019187,"Hepatitis, Alcoholic"
C0018081,Gonorrhea
C0085253,Adult-Onset Still Disease
C0700502,Acquired hypothyroidism
C0042580,Vesico-Ureteral Reflux
C0014553,Absence Epilepsy
C1336827,Tropical Disease
C0520679,"Sleep Apnea, Obstructive"
C0004031,"Aspergillosis, Allergic Bronchopulmonary"
C0012739,Disseminated Intravascular Coagulation
C0021364,Male infertility
C3241937,Nonalcoholic Steatohepatitis
C0238111,Lennox-Gastaut syndrome
C0014173,Endometrial Hyperplasia
C1609535,Invasive Candidiasis
C1960870,Transformed migraine
C0457949,Chronic low back pain
C0238284,Acute mountain sickness
C0221002,"Hyperparathyroidism, Primary"
C0040264,Tinnitus
C0011633,Dermatomyositis
C0041952,Ureterolithiasis
C0029453,Osteopenia
C0029134,Optic Neuritis
C0746102,Chronic lung disease
C0043167,Pertussis
C0000814,Missed abortion
C0037317,Sleep disturbances
C0036330,Schistosomiasis mansoni
C0010481,Cushing Syndrome
C0038525,Subarachnoid Hemorrhage
C1112209,Abdominal Infection
C0043352,Xerostomia
C0085652,Pyoderma Gangrenosum
C0151636,Premature ventricular contractions
C0238061,CHRONIC INFLAMMATORY POLYNEUROPATHY
C0919659,Oropharyngeal candidiasis
C1168250,Laryngopharyngeal Reflux
C1145670,Respiratory Failure
C0030848,Peyronie Disease
C0009319,Colitis
C0034013,Precocious Puberty
C0010666,Cystic acne
C1608973,Error: 404
C0850624,Heart Disease Risk Factors
C0235025,Peripheral motor neuropathy
C0019372,Herpesviridae Infections
C0041364,Tumor Lysis Syndrome
C0263678,Acute arthritis
C0010690,Error: 404
C0015652,Fascioliasis
C0040156,Thyrotoxicosis
C0343467,Erythema nodosum leprosum
C1262117,Fungal keratitis
C0030590,Paroxysmal supraventricular tachycardia
C0016470,Food Allergy
C0015397,Disorder of eye
C4687714,Steroid Refractory Graft Versus Host Disease
C0027849,Neuroleptic Malignant Syndrome
C0007194,Hypertrophic Cardiomyopathy
C0022660,"Kidney Failure, Acute"
C0038218,Status Asthmaticus
C0001125,"Acidosis, Lactic"
C0270736,Essential Tremor
C0034494,Rabies (disorder)
C0406482,Nodulocystic acne
C0235480,Paroxysmal atrial fibrillation
C0038034,Sporotrichosis
C0679225,multiple pathologies
C0019189,"Hepatitis, Chronic"
C0087086,Thrombus
C0033845,Pseudotumor Cerebri
C0027947,Neutropenia
C0027721,Lipoid nephrosis
C0027609,Neonatal Abstinence Syndrome
C0002986,Fabry Disease
C0745136,Hypertensive emergency
C0018889,Helminthiasis
C0012546,Diphtheria
C0007384,Cataplexy
C0025007,Measles
C0242584,Autoimmune thrombocytopenia
C1142536,Pneumonia caused by methicillin resistant Staphylococcus aureus
C0751122,Infantile Severe Myoclonic Epilepsy
C1269831,resistant infection
C0265110,Cerebral Vasospasm
C0151449,Primary Sjögren's syndrome
C0858321,Plasmodium vivax infection
C0022116,Ischemia
C0002880,Autoimmune hemolytic anemia
C0024291,"Lymphohistiocytosis, Hemophagocytic"
C0023886,"Liver Abscess, Amebic"
C0149516,Chronic sinusitis
C0024440,"Macular Edema, Cystoid"
C0022735,Klinefelter Syndrome
C0032897,Prader-Willi Syndrome
C0272322,Severe hereditary factor VIII deficiency disease
C0001511,Tissue Adhesions
C0000786,Spontaneous abortion
C0007193,"Cardiomyopathy, Dilated"
C0149756,"Fasciitis, Plantar"
C0021167,Incontinence
C0750197,Sustained ventricular tachycardia
C0458219,Complex Regional Pain Syndromes
C1096063,Drug Resistant Epilepsy
C0011848,Diabetes Insipidus
C0268381,Primary amyloidosis
C2973725,Pulmonary arterial hypertension
C0677607,Hashimoto Disease
C0086445,Idiopathic Membranous Glomerulonephritis
C0341106,Eosinophilic esophagitis
C0085681,Hyperphosphatemia (disorder)
C0743332,Focal Dystonia
C0559470,Allergy to peanuts
C0023976,Long QT Syndrome
C0019158,Hepatitis
C0403398,Steroid-Dependent Nephrotic Syndrome
C0011608,Dermatitis Herpetiformis
C0398623,Thrombophilia
C0005283,beta Thalassemia
C1142420,Error: 404
C0029443,Osteomyelitis
C0239295,Candidiasis of the esophagus
C1261469,Error: 404
C0032371,Poliomyelitis
C0008489,Chorea
C0002438,Amebiasis
C0020541,Portal Hypertension
C0035579,Rickets
C0000809,"Abortion, Habitual"
C0746883,Febrile Neutropenia
C0017661,IGA Glomerulonephritis
C0034902,Pure Red-Cell Aplasia
C0948441,Venoocclusive disease
C0002418,Amblyopia
C0019342,Genital Herpes
C0018621,Hay fever
C0442874,Neuropathy
C0085083,Ovarian Hyperstimulation Syndrome
C0376175,Bell Palsy
C0007820,Cerebrovascular Disorders
C0521173,Granulomatosis
C1264606,Persistent Infection
C0009088,Cluster Headache
C0025281,Meniere Disease
C0011630,Dermatomycoses
C0042109,Urticaria
C0154830,Proliferative diabetic retinopathy
C0343804,Chronic Chagas' disease
C0006849,Oral candidiasis
C2747816,Complicated malaria
C0002726,Amyloidosis
C2717865,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
C0079487,Helicobacter Infections
C0009377,Colonic Pseudo-Obstruction
C0019357,"Keratitis, Herpetic"
C0271650,Impaired glucose tolerance (disorder)
C0043116,HMN (Hereditary Motor Neuropathy) Proximal Type I
C0949690,Spondylarthritis
C0403425,Error: 404
C0043121,Wernicke Encephalopathy
C0878544,Cardiomyopathies
C0006309,Brucellosis
C0267055,Erosive esophagitis
C0019247,Hereditary Diseases
C1277187,Left ventricular systolic dysfunction
C1260710,Acute ulcerative colitis
C0029882,Otitis Media
C1444855,Error: 404
C0006271,Bronchiolitis
C0023890,Liver Cirrhosis
C1704272,Benign Prostatic Hyperplasia
C0000821,Threatened abortion
C0016167,Anal Fissure
C0007785,Cerebral Infarction
C0235329,Small bowel obstruction
C0031090,Periodontal Diseases
C0038463,Strongyloidiasis
C0001824,Agranulocytosis
C0553576,Systemic mycosis
C0009443,Common Cold
C0341439,Chronic liver disease
C2717961,Thrombotic Microangiopathies
C0730345,Microalbuminuria
C0040188,Tic disorder
C0917799,Hypersomnia
C0747256,Error: 404
C0024534,"Malaria, Cerebral"
C2936328,Neglected Diseases
C0029401,Osteitis Deformans
C0034735,Raynaud Phenomenon
C0041227,Trypanosomiasis
C0016627,Influenza in Birds
C0035455,Rhinitis
C0398686,Primary immune deficiency disorder
C0740391,Middle Cerebral Artery Occlusion
C0032749,Post-kala-azar dermal leishmaniasis
C0154841,Central retinal vein occlusion
C0149721,Left Ventricular Hypertrophy
C0036916,Sexually Transmitted Diseases
C0015934,Fetal Growth Retardation
C0022408,Arthropathy
C0238067,"Colitis, Collagenous"
C0276926,Schistosoma hematobium infection
C0001627,Congenital adrenal hyperplasia
C0262380,Asymptomatic bacteriuria
C0011636,Dermatophytosis
C0010380,Croup
C0022578,Keratoconus
C0002066,Alkaptonuria
C2363973,Chronic thromboembolic pulmonary hypertension
C0036205,"Sarcoidosis, Pulmonary"
C0026918,Mycobacterium Infections
C0026393,Molluscum Contagiosum
C0020625,Hyponatremia
C0856169,Endothelial dysfunction
C0021116,Error: 404
C0949691,Spondylarthropathies
C0039445,Hereditary hemorrhagic telangiectasia
C0008677,"Bronchitis, Chronic"
C0234119,Neuromuscular inhibition
C0019099,"Hemorrhagic Fever, Crimean"
C0020459,Hyperinsulinism
C0442867,malignant disease
C0011269,"Dementia, Vascular"
C3203547,Axial Spondyloarthritis
C0263353,Prurigo nodularis
C0041909,Upper gastrointestinal hemorrhage
C0010709,Cyst
C0949083,Hospital acquired pneumonia
C3839346,Heart failure with reduced ejection fraction
C0022568,Keratitis
C1272017,At increased risk of osteoporotic fracture
C2711256,Ischemic priapism
C1562029,Hormone receptor positive malignant neoplasm of breast
C0376358,Malignant neoplasm of prostate
C0334634,Error: 404
C1306835,Periarthritis of shoulder
C0004604,Back Pain
C0006277,Bronchitis
C0042487,Venous Thrombosis
C0917801,Sleeplessness
C0271152,Malignant glaucoma
C0085649,Peripheral edema
C0149893,Secondary glaucoma
C0013604,Edema
C0017605,Angle Closure Glaucoma
C0002351,Altitude Sickness
C0029878,Otitis Externa
C0033975,Psychotic Disorders
C0017152,Gastritis
C0011268,Senile dementia
C0006267,Bronchiectasis
C0392164,Pulmonary Cystic Fibrosis
C0524662,Opiate Addiction
C0392171,Influenza-like symptoms
C0040460,Toothache
C0393735,Headache Disorders
C0037195,Sinus headache
C0003862,Arthralgia
C0349719,Herpes simplex infection of skin
C1274323,Recurrent genital herpes simplex
C0019345,Herpes Labialis
C1274321,Recurrent herpes simplex labialis
C0020476,Hyperlipoproteinemias
C0035460,"Rhinitis, Vasomotor"
C0027424,Nasal congestion (finding)
C1260880,Rhinorrhea
C0009766,Allergic Conjunctivitis
C0037383,Sneezing
C2607914,Allergic rhinitis (disorder)
C0406317,Chronic small plaque psoriasis
C0339317,Non-infectious anterior uveitis
C0162568,Erythropoietic Protoporphyria
C1960925,Epidermal growth factor receptor positive non-small cell lung cancer
C0339498,Central retinal vein occlusion with macular edema
C0339507,Branch retinal vein occlusion with macular edema
C1282500,metastasis from malignant neoplasm of colon
C0339933,Acute bacterial bronchitis
C1263758,Female genital tract infection
C0392618,Postoperative infection
C0276026,Haemophilus influenzae pneumonia
C0155860,Pneumonia caused by Pseudomonas
C0155862,Streptococcal pneumonia
C0339932,Acute Moraxella catarrhalis bronchitis
C0032302,Mycoplasma pneumonia
C0153195,Acute gonococcal cervicitis
C0275665,Gonorrhea of rectum
C0275652,Acute gonococcal urethritis
C0032308,Staphylococcal Pneumonia
C0153196,Acute gonococcal endometritis
C0343402,Bacterial infection caused by Klebsiella pneumoniae
C0275556,Acute bacterial sinusitis
C0276089,Pneumonia caused by Escherichia coli
C0339959,Chlamydial pneumonia
C0520777,Chlamydial pelvic inflammatory disease
C0153289,Echinococcus granulosus infection of liver
C0153290,Echinococcus granulosus infection of lung
C0152068,Echinococcus granulosus infection
C0030193,Pain
C0011616,Contact Dermatitis
C0015230,Exanthema
C0079773,"Lymphoma, T-Cell, Cutaneous"
C0033775,Pruritus Ani
C0149922,Lichen Simplex Chronicus
C0085074,Granuloma Annulare
C0036508,Seborrheic dermatitis
C0406326,Psoriasis of scalp
C0024138,Chronic discoid lupus erythematosus
C0033777,Pruritus of genital organs
C0023467,"Leukemia, Myelocytic, Acute"
C0278678,Metastatic Renal Cell Cancer
C0860594,"Malignant melanoma, metastatic"
C0035086,Renal Osteodystrophy
C0020626,Hypoparathyroidism
C0342634,Neonatal hypocalcemia
C1739363,Prostatic Hypertrophy
C0018834,Heartburn
C0013395,Dyspepsia
C1961835,"Gaucher Disease, Type 1"
C0342751,Generalized glycogen storage disease of infants
C0002994,Angioedema
C0343065,Dermatographic urticaria
C0033774,Pruritus
C0023817,Hyperlipoproteinemia Type I
C3875286,Complex dyslipidemia
C0342882,Familial hypercholesterolemia - heterozygous
C0423775,Scurfiness of scalp
C0152030,Skin irritation
C1959799,Calcium renal calculus
C0003868,"Arthritis, Gouty"
C0558595,Uric acid renal calculus
C0348898,Irritable bowel syndrome with diarrhea
C4708088,"Germline BRCA-mutated, HER2-negative metastatic breast cancer"
C0003467,Anxiety
C0338908,Mixed anxiety and depressive disorder
C0270549,Generalized Anxiety Disorder
C0242855,Congenital atresia of pulmonary valve
C0243002,Tricuspid Atresia
C0003492,Aortic coarctation
C0039685,Tetralogy of Fallot
C1140680,Malignant neoplasm of ovary
C0020458,Hyperhidrosis (disorder)
C0400877,Postoperative ileus
C0015371,Extrapyramidal Disorders
C2711180,Influenza caused by Influenza A virus
C0030568,"Parkinson Disease, Postencephalitic"
C0242429,Sore Throat
C0022972,Lambert-Eaton Myasthenic Syndrome
C0014347,Enterobacteriaceae Infections
C0349774,Diverticulitis of gastrointestinal tract
C0276075,Infection caused by Pseudomonas aeruginosa
C0729524,Bacterial urinary infection
C0577690,Proteus septicemia
C0276088,Escherichia coli septicemia
C0339968,Neonatal pneumonia
C2242472,Infection of bone
C0456107,Neonatal meningitis
C0157749,Arthropathy associated with infection
C0004626,"Pneumonia, Bacterial"
C0035468,Rhinoscleroma
C0008311,Cholangitis
C0152965,Staphylococcal sepsis
C2887096,Sepsis due to Pseudomonas
C1719906,Meningitis caused by Klebsiella aerogenes
C0154640,Staphylococcal meningitis
C0085394,Serratia Infections
C0014836,Escherichia coli Infections
C3163829,Sepsis caused by Gram negative bacteria
C1260917,Proteus pneumonia
C0338396,Proteus meningitis
C0338395,"Meningitis, Escherichia coli"
C0152973,Serratia sepsis
C0577708,Urinary tract infection caused by Escherichia coli
C0456103,Sepsis of the newborn
C4076057,Urinary tract infection caused by Klebsiella
C0854215,Bacterial meningitis caused by Gram-negative bacteria
C0854248,Pneumonia caused by Gram negative bacteria
C0684256,Bacterial sepsis
C0011581,Depressive disorder
C1527383,Morphea
C0011644,Scleroderma
C0346993,Secondary malignant neoplasm of female breast
C0022602,Actinic keratosis
C0275959,Acute tuberculosis
C0221765,Chronic schizophrenia
C0520909,Postoperative Nausea and Vomiting
C0038363,Aphthous Stomatitis
C0002963,"Angina Pectoris, Variant"
C0002962,Angina Pectoris
C0475811,Disorder of keratinization
C0010200,Coughing
C0151908,Dry skin
C0231403,Severe anxiety (panic)
C0149725,Lower respiratory tract infection
C0554628,Group A Streptococcal Infections
C2349530,Pneumonia caused by Staphylococcus aureus
C0031350,Pharyngitis
C0856695,Acute exacerbation of chronic bronchitis
C0519030,Pneumonia due to Klebsiella pneumoniae
C1318973,Staphylococcus aureus infection
C0275794,Staphylococcal pharyngitis
C0275804,Streptococcal tonsillitis
C0343378,Helicobacter-associated gastritis
C0275793,Staphylococcal tonsillitis
C0520775,Klebsiella cystitis
C0729586,Infective otitis media
C0043388,Yaws
C0276653,Invasive Pulmonary Aspergillosis
C0009186,Coccidioidomycosis
C0151874,Fungal infection of lung
C0085438,"Meningitis, Fungal"
C0019655,Histoplasmosis
C0035021,Relapsing Fever
C0018190,Granuloma Inguinale
C0149966,Gonorrhea of pharynx
C0029291,Psittacosis
C0035793,Rocky Mountain Spotted Fever
C0276688,Pulmonary cryptococcosis
C0037199,Sinusitis
C0034362,Q Fever
C1997322,Chlamydia trachomatis infection of genital structure
C0039128,Syphilis
C0349009,Septicemia candida
C2960008,Fungal septicemia
C0006846,Cutaneous Candidiasis
C0005716,Blastomycosis
C0024286,Lymphogranuloma Venereum
C0153256,Candidal meningitis
C0153254,Candidal endocarditis
C0276725,Disseminated sporotrichosis
C0276648,Mycotic endocarditis
C0011974,Diaper Rash
C0001261,Actinomycosis
C0003175,Anthrax disease
C0040592,Trachoma
C0149704,Gingivostomatitis
C0035597,Rickettsialpox
C0275555,Acute bacterial epiglottitis
C0155814,Acute epiglottitis
C0588233,Septicemia due to enterococcus
C0341503,Bacterial peritonitis
C0014121,Bacterial Endocarditis
C2887088,Sepsis caused by Staphylococcus aureus
C0152486,Salmonella sepsis
C0520767,Staphylococcal endocarditis
C0152964,Streptococcal sepsis
C0025295,"Meningitis, Pneumococcal"
C0013371,Shigella Infections
C0025294,Meningococcal meningitis
C0275761,Pneumococcal pharyngitis
C0577709,Proteus urinary tract infection
C0030528,Paratyphoid Fever
C0581377,Decompensated cardiac failure
C0238080,Toxic effect of cyanide
C2316212,Cryopyrin-Associated Periodic Syndromes
C0409818,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome"
C0570328,Direct acting anticoagulant adverse reaction
C0271932,Anemia of chronic renal failure
C0020649,Hypotension
C0235267,Redness of eye
C0686068,Metastatic malignant neoplasm to stomach
C0155749,Arterial embolus and thrombosis
C1321482,Behçet's disease affecting oral mucosa
C0401160,Chemotherapy-induced nausea and vomiting
C0428974,Supraventricular arrhythmia
C0019080,Hemorrhage
C0034067,Pulmonary Emphysema
C0270425,Bipolar disorder in remission
C0004352,Autistic Disorder
C0236780,Mixed bipolar I disorder
C0338873,"Bipolar affective disorder, current episode manic"
C0036341,Schizophrenia
C0023479,Acute myelomonocytic leukemia
